Date,Zip Code,Pickup Location,Number of Trips Booked
2024/01/01,700001,B.B.D. Bagh,22
2024/01/01,700007,Esplanade,29
2024/01/01,700013,Chittaranjan Avenue,19
2024/01/01,700014,Bhowanipore,17
2024/01/01,700016,Park Street,15
2024/01/01,700019,Ballygunge,17
2024/01/01,700020,A.J.C. Bose Road,25
2024/01/01,700022,Hastings,13
2024/01/01,700025,Bhawanipore,15
2024/01/01,700026,Kalighat,14
2024/01/01,700027,Alipore,8
2024/01/01,700029,Dover Lane,17
2024/01/01,700031,Dhakuria,15
2024/01/01,700032,Bijoygarh,19
2024/01/01,700033,Indrani Park,11
2024/01/01,700034,Behala,12
2024/01/01,700042,Kasba,10
2024/01/01,700044,Badartala,12
2024/01/01,700046,Abinash Chaowdhury Lane,8
2024/01/01,700047,Ganguly Bagan,13
2024/01/01,700053,Kalabagan,12
2024/01/01,700054,Bengal Chemical,16
2024/01/01,700061,Jairampur,11
2024/01/01,700066,Bidhangarh,15
2024/01/01,700068,Jodhpur Park,15
2024/01/01,700069,Great Eastern Hotel,27
2024/01/01,700073,Colootola,21
2024/01/01,700075,Garfa,17
2024/01/01,700078,Haltu,19
2024/01/01,700082,Haridevpur,17
2024/01/01,700085,K.G. Bose Sarani,14
2024/01/01,700086,Baghajatin,7
2024/01/01,700088,Brace Bridge,12
2024/01/01,700095,Golf Green,6
2024/01/01,700099,Kalikapur,11
2024/01/01,700107,E.K.T,13
2024/01/01,700141,Daulatpur,12
2024/01/01,700008,Barisha,11
2024/01/01,700010,Beleghata,26
2024/01/01,700012,Bowbazar,22
2024/01/01,700015,Entally,17
2024/01/01,700017,Kidderpore,11
2024/01/01,700018,Bartala,17
2024/01/01,700021,Fort William,27
2024/01/01,700024,Garden Reach,8
2024/01/01,700072,Hindustan Building,26
2024/01/01,700135,Rajarhat,21
2024/01/01,700136,New Town,11
2024/01/01,700023,Khiddirpore,7
2024/01/01,700091,Salt Lake Sector I,16
2024/01/01,700098,Bidhan Nagar,16
2024/01/01,700105,Kankurgachi,10
2024/01/01,700106,Phool Bagan,13
2024/01/01,700108,Shyambazar,27
2024/01/01,700109,Bagbazar,6
2024/01/02,700001,B.B.D. Bagh,26
2024/01/02,700007,Esplanade,28
2024/01/02,700013,Chittaranjan Avenue,22
2024/01/02,700014,Bhowanipore,9
